iter	Passed	Remaining
432	1663	2177
433	1665	2172
434	1668	2166
435	1670	2161
436	1674	2156
437	1684	2161
438	1688	2157
439	1690	2152
440	1693	2146
441	1695	2140
442	1699	2136
443	1706	2136
444	1713	2137
445	1717	2132
446	1721	2130
447	1725	2126
448	1727	2120
449	1730	2115
450	1743	2121
451	1745	2115
452	1756	2121
453	1758	2115
454	1760	2109
455	1762	2102
456	1764	2096
457	1769	2094
458	1771	2088
459	1776	2085
460	1778	2079
461	1780	2073
462	1785	2070
463	1787	2065
464	1789	2058
465	1791	2052
466	1792	2045
467	1794	2039
468	1796	2033
469	1801	2031
470	1805	2027
471	1807	2021
472	1809	2015
473	1810	2009
474	1816	2007
475	1818	2001
476	1820	1996
477	1822	1990
478	1824	1984
479	1826	1978
480	1831	1976
481	1835	1972
482	1837	1966
483	1839	1961
484	1842	1956
485	1846	1952
486	1849	1947
487	1851	1942
488	1855	1938
489	1857	1933
490	1859	1927
491	1867	1928
492	1870	1923
493	1885	1930
494	1887	1925
495	1889	1919
496	1896	1919
497	1898	1913
498	1901	1908
499	1904	1904
500	1910	1902
501	1913	1897
502	1916	1893
503	1919	1888
504	1921	1882
505	1925	1879
506	1928	1875
507	1930	1869
508	1932	1864
509	1935	1859
510	1943	1859
511	1945	1854
512	1947	1849
513	1950	1844
514	1955	1841
515	1958	1837
516	1961	1832
517	1963	1827
518	1966	1822
519	1968	1817
520	1972	1813
521	1975	1808
522	1977	1803
523	1981	1799
524	1991	1801
525	1993	1796
526	1997	1792
527	1998	1786
528	2000	1781
529	2008	1780
530	2010	1775
531	2012	1770
532	2014	1765
533	2026	1768
534	2028	1763
535	2039	1765
536	2041	1759
537	2043	1754
538	2045	1749
539	2047	1744
540	2049	1738
541	2054	1735
542	2059	1732
543	2061	1727
544	2063	1722
545	2065	1717
546	2071	1715
547	2074	1710
548	2076	1705
549	2078	1700
550	2081	1696
551	2086	1693
552	2102	1699
553	2105	1695
554	2107	1690
555	2110	1685
556	2117	1684
557	2120	1679
558	2126	1677
559	2134	1676
560	2136	1671
561	2138	1666
562	2140	1661
563	2153	1665
564	2157	1661
565	2159	1655
566	2161	1650
567	2162	1644
568	2165	1640
569	2168	1635
570	2169	1630
571	2171	1624
572	2173	1619
573	2174	1614
574	2179	1611
575	2182	1606
576	2184	1601
577	2186	1596
578	2188	1591
579	2190	1585
580	2199	1586
581	2201	1580
582	2202	1575
583	2204	1570
584	2206	1565
585	2211	1562
586	2215	1558
587	2217	1553
588	2219	1548
589	2220	1543
590	2226	1540
591	2228	1536
592	2231	1531
593	2235	1528
594	2237	1522
595	2242	1520
596	2246	1516
597	2248	1511
598	2250	1506
599	2252	1501
600	2257	1498
601	2259	1493
602	2261	1488
603	2263	1483
604	2265	1479
605	2267	1473
606	2268	1468
607	2274	1466
608	2276	1461
609	2278	1456
610	2280	1452
611	2282	1447
612	2284	1442
613	2290	1439
614	2292	1435
615	2294	1430
616	2296	1425
617	2298	1420
618	2299	1415
619	2304	1412
620	2308	1408
621	2310	1404
622	2312	1399
623	2322	1399
624	2324	1394
625	2325	1389
626	2327	1384
627	2329	1379
628	2331	1374
629	2334	1371
630	2336	1366
631	2337	1361
632	2340	1356
633	2341	1351
634	2347	1349
635	2351	1345
636	2353	1340
637	2354	1336
638	2356	1331
639	2358	1326
640	2359	1321
641	2361	1316
642	2365	1313
643	2368	1309
644	2370	1304
645	2374	1300
646	2376	1296
647	2380	1292
648	2383	1289
649	2385	1284
650	2389	1280
651	2391	1276
652	2393	1271
653	2399	1269
654	2402	1265
655	2413	1265
656	2415	1260
657	2417	1256
658	2420	1252
659	2422	1247
660	2424	1243
661	2429	1240
662	2432	1236
663	2435	1232
664	2448	1233
665	2450	1229
666	2458	1227
667	2460	1223
668	2463	1218
669	2467	1215
670	2472	1212
671	2473	1207
672	2487	1208
673	2489	1204
674	2493	1200
675	2496	1196
676	2498	1191
677	2502	1188
678	2517	1190
679	2530	1190
680	2532	1186
681	2534	1181
682	2536	1177
683	2541	1174
684	2543	1169
685	2548	1166
686	2549	1161
687	2565	1163
688	2571	1160
689	2577	1158
690	2611	1167
691	2613	1163
692	2615	1158
693	2621	1155
694	2631	1154
695	2634	1150
696	2675	1162
697	2678	1158
698	2709	1166
699	2712	1162
700	2714	1157
701	2717	1153
702	2718	1148
703	2785	1171
704	2788	1166
705	2791	1162
706	2793	1157
707	2795	1152
708	2796	1147
709	2798	1142
710	2800	1138
711	2801	1133
712	2803	1128
713	2805	1123
714	2806	1118
715	2807	1113
716	2810	1109
717	2811	1104
718	2813	1099
719	2819	1096
720	2837	1097
721	2839	1093
722	2840	1088
723	2865	1092
724	2869	1088
725	2871	1083
726	2873	1079
727	2874	1074
728	2876	1069
729	2878	1064
730	2879	1059
731	2881	1054
732	2885	1050
733	2886	1046
734	2888	1041
735	2891	1037
736	2893	1032
737	2894	1027
738	2900	1024
739	2902	1019
740	2904	1015
741	2911	1012
742	2915	1008
743	2918	1004
744	2920	999
745	2921	994
746	2924	990
747	2926	986
748	2928	981
749	2931	977
750	2933	972
751	2937	968
752	2940	964
753	2955	964
754	2957	959
755	2961	955
756	2978	956
757	2981	951
758	2982	947
759	2984	942
760	2986	937
761	2987	933
762	2995	930
763	2997	926
764	2999	921
765	3004	917
766	3006	913
767	3007	908
768	3010	904
769	3012	899
770	3025	898
771	3028	894
772	3031	890
773	3036	886
774	3039	882
775	3041	877
776	3043	873
777	3059	872
778	3071	871
779	3080	868
780	3082	864
781	3084	859
782	3086	855
783	3089	851
784	3091	846
785	3098	843
786	3100	839
787	3102	834
788	3104	830
789	3106	825
790	3111	822
791	3114	817
792	3116	813
793	3118	809
794	3120	804
795	3133	802
796	3135	798
797	3137	794
798	3143	790
799	3148	787
800	3151	782
801	3163	781
802	3166	776
803	3168	772
804	3177	769
805	3179	765
806	3181	760
807	3187	757
808	3196	754
809	3198	750
810	3199	745
811	3201	741
812	3203	736
813	3210	733
814	3230	733
815	3232	728
816	3234	724
817	3237	720
818	3246	717
819	3258	715
820	3260	710
821	3263	706
822	3267	702
823	3269	698
824	3275	694
825	3278	690
826	3281	686
827	3284	682
828	3287	678
829	3303	676
830	3306	672
831	3317	669
832	3319	665
833	3332	663
834	3347	661
835	3354	657
836	3356	653
837	3367	650
838	3369	646
839	3371	642
840	3380	639
841	3382	634
842	3383	630
843	3385	625
844	3400	623
845	3402	619
846	3404	615
847	3413	611
848	3416	607
849	3418	603
850	3425	599
851	3428	595
852	3430	591
853	3432	586
854	3434	582
855	3435	577
856	3440	574
857	3442	569
858	3444	565
859	3463	563
860	3469	560
861	3474	556
862	3476	551
863	3478	547
864	3484	543
865	3494	540
866	3499	536
867	3502	532
868	3506	528
869	3513	525
870	3524	521
871	3526	517
872	3529	513
873	3538	510
874	3540	505
875	3542	501
876	3544	497
877	3545	492
878	3552	488
879	3562	485
880	3568	481
881	3571	477
882	3573	473
883	3575	469
884	3587	466
885	3598	463
886	3601	458
887	3605	454
888	3607	450
889	3615	446
890	3619	442
891	3622	438
892	3627	434
893	3631	430
894	3633	426
895	3635	421
896	3649	419
897	3652	414
898	3663	411
899	3671	407
900	3680	404
901	3688	400
902	3691	396
903	3694	392
904	3696	388
905	3706	384
906	3708	380
907	3710	375
908	3718	372
909	3720	367
910	3722	363
911	3724	359
912	3732	355
913	3750	352
914	3760	349
915	3768	345
916	3771	341
917	3773	337
918	3777	332
919	3784	329
920	3786	324
921	3788	320
922	3791	316
923	3797	312
924	3799	308
925	3802	303
926	3804	299
927	3806	295
928	3808	291
929	3816	287
930	3819	283
931	3830	279
932	3834	275
933	3854	272
934	3862	268
935	3865	264
936	3868	260
937	3876	256
938	3879	252
939	3880	247
940	3886	243
941	3887	239
942	3901	235
943	3903	231
944	3917	227
945	3919	223
946	3932	220
947	3935	215
948	3939	211
949	3948	207
950	3951	203
951	3963	199
952	3976	196
953	3994	192
954	3995	188
955	4000	184
956	4009	180
957	4012	175
958	4024	172
959	4031	167
960	4033	163
961	4038	159
962	4040	155
963	4042	150
964	4044	146
965	4057	142
966	4061	138
967	4063	134
968	4065	130
969	4071	125
970	4073	121
971	4075	117
972	4077	113
973	4082	108
974	4104	105
975	4106	100
976	4109	96
977	4111	92
978	4112	88
979	4114	83
980	4119	79
981	4123	75
982	4127	71
983	4129	67
984	4132	62
985	4135	58
986	4141	54
987	4143	50
988	4145	46
989	4150	41
990	4162	37
991	4166	33
992	4168	29
993	4174	25
994	4178	20
995	4181	16
996	4183	12
997	4186	8
998	4188	4
999	4192	0
